material_id,formula_pretty,band_gap,energy_above_hull,density
mp-11107,Ac2O3,3.522599999999999,0.0,9.109129867325775
mp-1183115,AcAlO3,4.1024,0.0,8.728230081866649
mp-27972,AcBr3,4.103299999999999,0.0,5.679086211676529
mp-30274,AcBrO,4.241,0.0,7.652290117092176
mp-27971,AcCl3,5.0865,0.0,4.724438632804964
mp-30273,AcClO,4.4451,0.0,7.156870615491261
mp-977360,AcF3,7.4101,0.0046541725,8.787879077937266
mp-985278,AcF3,6.0693,0.0,8.793764902943147
mp-36526,AcOF,4.256600000000001,0.0,8.272058043900467
mp-1183152,AcScO3,3.3847,0.024140034874998002,7.569207408829243
mp-554873,Ag2B8O13,3.4397,0.0,3.401789519714084
mp-12021,AgBF4,3.157,0.0,4.612169661838752
mp-24058,AgBH2OF4,3.044,0.0,3.632520551919322
mp-775761,AgClO3,3.1001,0.031584152499997,4.366022674178715
mp-776199,AgClO3,3.113099999999999,0.048604945499998005,4.111923887247284
mp-2903321,AgClO4,3.2945,0.007686925833334001,4.167704129930956
mp-34418,AgPF6,3.2361,0.0,3.157349247405605
mp-555903,Al(IO3)3,3.346599999999999,0.0,5.036955877423913
mp-760795,Al10ZnO16,4.326799999999999,0.020921847037038,3.802958944804031
mp-766293,Al11AgO17,3.020899999999999,0.023639298793103003,3.560731306824813
mp-849760,Al11AgO17,3.196799999999999,0.023978703965517,3.565588815308834
mp-766248,Al11InO17,3.721,0.013526241599617001,3.553205102990497
mp-675682,Al11NO15,4.052600000000001,0.042179937037037006,3.58683301640987
mp-2206289,Al11TlO17,5.323600000000001,0.0,4.147103680060489
mp-758571,Al11TlO17,4.590300000000001,0.0,4.018034570086314
mp-28790,Al13(TlS7)3,3.1285,0.0009951981081090001,3.077921495276865
mp-675472,Al17(NO7)3,4.199000000000001,0.042113377317074006,3.602772420821879
mp-757340,Al19CrO30,3.9429,0.004100194449998,3.9325533940000232
mp-19521,Al2(MoO4)3,3.7134,0.0,3.4548203574856062
mp-559796,Al2(MoO4)3,3.7649,0.000897390441178,3.304052248812576
mp-756970,Al2(SeO4)3,3.120199999999999,0.0,3.617013061249389
mp-36447,Al2CoO4,3.0024,0.021735825714269002,4.45401960222136
mp-6172,Al2Fe3(SiO4)3,3.826900000000001,0.024439558499993002,4.164672049833149
mp-1228953,Al2GaN3,3.1754,0.004115225000003,4.270881979964225
mp-643346,Al2Ge(HO3)2,3.8758,0.03154524681818,3.695665659670696
mp-561437,Al2Ge(O2F)2,4.0658,0.0,4.017752409488144
mp-9751,Al2Ge2O7,3.409799999999999,0.031513492727272004,4.097575863372501
mp-1280463,Al2NiO4,3.5218,0.023864970714286,4.298089640237066
mp-1285355,Al2NiO4,3.5985,0.023063679285715,4.310911926527215
mp-1295388,Al2NiO4,3.637099999999999,0.049793235714286004,4.456323687600577
mp-34234,Al2NiO4,3.079499999999999,0.005724290000000001,4.371353315934346
mp-37614,Al2NiO4,3.205599999999999,0.0,4.533626381964133
mp-530137,Al2NiO4,3.042099999999999,0.008883946428573,4.377344223032971
mp-530459,Al2NiO4,3.075000000000001,0.010266698857143,4.372937883133708
mp-531917,Al2NiO4,3.0811,0.004593891964287,4.381099253108879
mp-532317,Al2NiO4,3.2249,0.0038514468571430004,4.385102071596914
mp-688785,Al2NiO4,3.3947,0.023635768571429003,4.29887427472898
mp-1143,Al2O3,5.853700000000001,0.0,3.873499124580814
mp-1245211,Al2O3,3.779599999999999,0.049060340249999,3.691950200962556
mp-2254,Al2O3,4.8274,0.020825458749999002,3.782405259976946
mp-32570,Al2O3,4.1416,0.039524041499999,3.695231826720428
mp-7048,Al2O3,4.4553,0.017159517999999003,3.626309528339469
mp-759943,Al2O3,4.3139,0.035135316874999004,3.57452754463431
mp-776475,Al2O3,5.5116,0.035034444749999005,3.874797934013569
mp-776490,Al2O3,5.815900000000001,0.046347576749999,4.040220639524978
mp-6280,Al2Si(O2F)2,5.6953,0.0,3.437624929440984
mp-755043,Al2Si2O7,5.266500000000001,0.022963085833337,3.196720089963825
mp-4753,Al2SiO5,4.8382000000000005,0.0020398487499990003,3.1566437736607282
mp-4934,Al2SiO5,4.992799999999999,0.004670723749999,3.250832001920898
mp-5065,Al2SiO5,5.403799999999999,0.0,3.677083913881021
mp-1199100,Al2Tl3(PO4)3,3.4362999999999992,0.008192954208333,5.341777304255521
mp-555644,Al2Tl3(PO4)3,3.4929,0.013098049208335,5.33475297462629
mp-1228522,Al2Zn2S5,3.5602,0.012686238492062001,3.073320506227265
mp-2908,Al2ZnO4,3.845999999999999,0.0,4.625888662745583
mp-1228485,Al3CrO6,3.8929,0.013612335250000001,4.321745483375596
mp-762236,Al3CrO6,3.3694,0.015479720249999001,4.3213899603325
mp-1019378,Al3GaN4,3.349899999999999,0.017318488749999,4.025259820813651
mp-1228436,Al3GaN4,3.4096,0.0019502125000000002,4.028504836510983
mp-1228939,Al3NO3,4.0847,0.048324102142856006,3.640821705557034
mp-675601,Al3NO3,4.410799999999999,0.045385182142857,3.640109785845389
mp-1247835,Al4Si2H(O3F)3,5.355500000000001,0.014906631293857001,3.396533736217307
mp-1228406,Al4Zn3Cr2O12,3.5397,0.0024768688095220003,4.687713991129271
mp-6738,Al6B5(O5F)3,6.1148,0.0,3.181028378565869
mp-1019381,Al7Si3BO18,4.9414,0.018661483304596,3.295833724788401
mp-1228970,Al8Zn3CoO16,3.3987,0.005412967142857001,4.412225701392249
mp-1229075,Al9Si2BO19,4.973700000000001,0.014266731935483001,3.02390493377953
mp-5189,AlAsO4,3.865,0.0,3.350112372244154
mp-8110,AlBO3,5.8392,0.030454673153846003,3.497216426150522
mp-672273,AlBiCl6,3.7568,0.0,3.007832073325457
mp-23288,AlBr3,4.0992,0.0,3.141176611644674
mp-1214833,AlBrO,3.0144,0.0,3.299291738479567
mp-1251112,AlCoF5,3.2098,0.049272275000003,3.550746334370992
mp-1183007,AlF3,7.4905,0.009294764999999,3.025755973150855
mp-468,AlF3,7.6012,0.0,3.264423327833108
mp-8039,AlF3,7.420299999999999,0.009358996249999,3.015250988222245
mp-28901,AlFeF5,4.2584,0.010200512857146,3.613702510073537
mp-1228994,AlGa2Bi(BO3)4,3.9445,0.021704576038433003,5.130332409401208
mp-772187,AlGaO3,3.4263999999999992,0.028743235249999003,4.871107205336525
mp-772898,AlGaO3,3.5313,0.027670599999999,4.815930171239055
mp-23807,AlHO2,5.6572,0.041692816874999004,3.423455784202743
mp-625054,AlHO2,5.1403,0.007370145624999,3.146310424072464
mp-625152,AlHO2,5.546000000000001,0.0,3.410058985226262
mp-625404,AlHO2,5.495400000000001,0.010699304375000001,3.424349573975823
mp-30930,AlI3,3.2639,0.0,3.7331499892699993
mp-2713949,AlIn(SO4)3,3.8371,0.022074447941180003,3.015840982866243
