material_id,formula_pretty,band_gap,energy_above_hull,density
mp-1224736,MgNiB2P2(H3O4)4,4.5703,0.001072053196771,2.319036680389864
mp-556070,Na5Gd(MoO4)4,3.3922,,4.112311992161791
mp-557756,Li4Zn(PO4)2,4.8068,0.000123222833334,2.767579397010451
mp-680717,Tm(BO2)3,5.8407,,5.496894819583244
mp-768598,Na2NiCSO7,3.0554,0.03501061562498,2.7394599216558673
mp-2715277,Na6Zr3ZnSi2(PO6)4,3.7194000000000003,0.032181737479166,3.158364311941796
mp-1223327,La2CO5,4.012099999999999,0.020839771458334003,5.240978800839381
mp-704238,Gd2Mo5O18,3.1154,0.007943524499992001,4.036077603984686
mp-2715675,NaHfTaSi(PO6)2,3.3579,0.023509899444443,4.24525172652512
mp-1221202,Na4Br(ClO4)3,4.8747,0.030323237250004003,2.566497509095428
