folder,file,size_kb,modified
raw,firms_last7d_es_raw.csv,36157.4,2025-09-14 22:16:59
raw,openmeteo_at_fire_2025-09-07_2025-09-14.csv,11.4,2025-09-14 22:17:19
raw,openmeteo_es_centroid_2025-09-07_2025-09-14.csv,10.1,2025-09-14 22:17:13
raw,openmeteo_firepoints_2025-09-07_2025-09-14.csv,251.2,2025-09-14 22:01:13
processed,data_inventory.csv,0.7,2025-09-14 22:09:04
processed,fires_firms_es_2025-09-07_2025-09-14.csv,50.5,2025-09-14 20:31:06
processed,fires_weather_es_2025-09-07_2025-09-14.csv,75.1,2025-09-14 21:18:01
processed,firms_daily_summary_20250914T183152Z.csv,0.3,2025-09-14 20:31:52
processed,openmeteo_at_fire_daily_2025-09-07_2025-09-14.csv,0.4,2025-09-14 22:17:19
processed,openmeteo_es_centroid_daily_2025-09-07_2025-09-14.csv,0.4,2025-09-14 22:17:13
