latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
35.14813,-6.10657,304.86,0.5,0.49,2025-09-08,143,N,VIIRS,n,2.0NRT,287.94,1.0,N,2025-09-08 01:43:00+00:00
40.72105,-3.5996,295.89,0.43,0.46,2025-09-08,143,N,VIIRS,n,2.0NRT,284.14,0.75,N,2025-09-08 01:43:00+00:00
38.80831,-5.0035,300.96,0.48,0.48,2025-09-08,143,N,VIIRS,n,2.0NRT,287.44,0.81,N,2025-09-08 01:43:00+00:00
38.8044,-4.95728,300.73,0.47,0.48,2025-09-08,143,N,VIIRS,n,2.0NRT,288.43,1.52,N,2025-09-08 01:43:00+00:00
36.96589,-1.90277,307.78,0.48,0.4,2025-09-08,143,N,VIIRS,n,2.0NRT,292.09,1.24,N,2025-09-08 01:43:00+00:00
36.1313,1.23995,313.23,0.39,0.36,2025-09-08,143,N,VIIRS,n,2.0NRT,295.66,3.3,N,2025-09-08 01:43:00+00:00
36.12734,1.24351,326.47,0.39,0.36,2025-09-08,143,N,VIIRS,n,2.0NRT,296.9,3.3,N,2025-09-08 01:43:00+00:00
35.82257,-0.32437,315.38,0.42,0.37,2025-09-08,143,N,VIIRS,n,2.0NRT,287.47,0.96,N,2025-09-08 01:43:00+00:00
35.81514,-0.26941,313.27,0.42,0.37,2025-09-08,143,N,VIIRS,n,2.0NRT,287.96,3.12,N,2025-09-08 01:43:00+00:00
36.12593,1.2409,323.19,0.39,0.36,2025-09-08,143,N,VIIRS,n,2.0NRT,294.78,4.94,N,2025-09-08 01:43:00+00:00
35.80641,-0.25701,306.51,0.41,0.37,2025-09-08,143,N,VIIRS,n,2.0NRT,286.02,1.94,N,2025-09-08 01:43:00+00:00
35.80455,-0.24326,313.97,0.41,0.37,2025-09-08,143,N,VIIRS,n,2.0NRT,292.42,2.52,N,2025-09-08 01:43:00+00:00
35.78201,0.54017,311.38,0.4,0.37,2025-09-08,143,N,VIIRS,n,2.0NRT,293.57,1.33,N,2025-09-08 01:43:00+00:00
35.52779,-0.27911,302.97,0.41,0.37,2025-09-08,143,N,VIIRS,n,2.0NRT,290.73,0.81,N,2025-09-08 01:43:00+00:00
35.46099,-0.39761,307.03,0.42,0.37,2025-09-08,143,N,VIIRS,n,2.0NRT,291.81,1.59,N,2025-09-08 01:43:00+00:00
35.33892,1.35772,305.42,0.39,0.36,2025-09-08,143,N,VIIRS,n,2.0NRT,288.64,0.35,N,2025-09-08 01:43:00+00:00
35.15267,-6.10602,304.02,0.5,0.49,2025-09-08,143,N,VIIRS,n,2.0NRT,288.11,1.11,N,2025-09-08 01:43:00+00:00
35.80984,-0.25633,325.1,0.41,0.37,2025-09-08,143,N,VIIRS,n,2.0NRT,290.32,1.94,N,2025-09-08 01:43:00+00:00
37.10249,-7.96227,301.29,0.53,0.67,2025-09-08,323,N,VIIRS,n,2.0NRT,280.29,1.72,N,2025-09-08 03:23:00+00:00
36.0174,0.1255,337.98,0.39,0.36,2025-09-08,1304,N,VIIRS,n,2.0NRT,301.74,2.4,D,2025-09-08 13:04:00+00:00
