latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
65.56554,22.22137,309.49,0.5,0.41,2025-10-29,39,N,VIIRS,n,2.0NRT,265.27,3.17,N
52.53342,39.6285,307.96,0.4,0.6,2025-10-29,41,N,VIIRS,n,2.0NRT,272.96,3.25,N
52.53835,39.63289,345.29,0.4,0.6,2025-10-29,41,N,VIIRS,n,2.0NRT,274.81,3.25,N
52.54007,39.62757,309.79,0.39,0.6,2025-10-29,41,N,VIIRS,n,2.0NRT,271.18,5.87,N
52.54813,39.64139,308,0.39,0.6,2025-10-29,41,N,VIIRS,n,2.0NRT,272.37,1.57,N
52.54821,39.6416,311.32,0.4,0.6,2025-10-29,41,N,VIIRS,n,2.0NRT,272.22,1.86,N
52.55681,39.61493,308.72,0.39,0.6,2025-10-29,41,N,VIIRS,n,2.0NRT,259.51,0.92,N
52.55684,39.61485,303.35,0.39,0.6,2025-10-29,41,N,VIIRS,n,2.0NRT,260.07,1.29,N
52.55719,39.57453,296.51,0.39,0.6,2025-10-29,41,N,VIIRS,n,2.0NRT,263.39,0.83,N
54.72717,41.75164,306.37,0.39,0.59,2025-10-29,41,N,VIIRS,n,2.0NRT,275,1.7,N
57.06346,9.97718,319.59,0.32,0.55,2025-10-29,41,N,VIIRS,n,2.0NRT,279.63,1.89,N
58.66805,17.13306,307.52,0.56,0.43,2025-10-29,41,N,VIIRS,n,2.0NRT,275.61,1.23,N
58.66841,17.1386,295.38,0.56,0.43,2025-10-29,41,N,VIIRS,n,2.0NRT,277.02,1.2,N
58.66922,17.12896,302.99,0.56,0.43,2025-10-29,41,N,VIIRS,n,2.0NRT,275.31,1.2,N
58.67201,17.13432,308.68,0.56,0.43,2025-10-29,41,N,VIIRS,n,2.0NRT,275.66,1.76,N
58.67236,17.13986,297.16,0.56,0.43,2025-10-29,41,N,VIIRS,n,2.0NRT,278.15,1.5,N
59.12524,9.6173,308.97,0.34,0.56,2025-10-29,41,N,VIIRS,n,2.0NRT,273.51,1.3,N
59.385,28.46339,298.22,0.39,0.36,2025-10-29,41,N,VIIRS,n,2.0NRT,267.5,0.85,N
47.78902,28.95295,305.65,0.42,0.45,2025-10-29,43,N,VIIRS,n,2.0NRT,276.12,1.23,N
47.86325,33.44844,296.78,0.32,0.54,2025-10-29,43,N,VIIRS,n,2.0NRT,276.56,0.69,N
47.86693,35.1491,295.93,0.38,0.58,2025-10-29,43,N,VIIRS,n,2.0NRT,279.35,1.44,N
47.86907,35.16191,343.68,0.38,0.58,2025-10-29,43,N,VIIRS,n,2.0NRT,281.42,5.52,N
47.87265,35.16996,307.13,0.38,0.58,2025-10-29,43,N,VIIRS,n,2.0NRT,276.75,2.28,N
47.87836,35.19096,319.13,0.38,0.59,2025-10-29,43,N,VIIRS,n,2.0NRT,277.85,2.39,N
48.51997,34.62996,296.83,0.34,0.56,2025-10-29,43,N,VIIRS,n,2.0NRT,276.87,0.37,N
48.53185,34.64832,300.11,0.34,0.56,2025-10-29,43,N,VIIRS,n,2.0NRT,276.41,0.97,N
