time_utc,temperature_2m,relative_humidity_2m,dew_point_2m,windspeed_10m,windgusts_10m,winddirection_10m,precipitation,surface_pressure,latitude,longitude,lat_round,lon_round,time_hour
2025-09-07 00:00:00+00:00,25.4,95.0,24.5,8.5,10.4,269.0,0.0,1009.7,35.78,0.54,35.8,0.5,2025-09-07 00:00:00+00:00
2025-09-07 01:00:00+00:00,24.8,96.0,24.1,10.5,7.9,297.0,0.0,1010.1,35.78,0.54,35.8,0.5,2025-09-07 01:00:00+00:00
2025-09-07 02:00:00+00:00,24.8,96.0,24.1,3.1,5.4,234.0,0.0,1009.6,35.78,0.54,35.8,0.5,2025-09-07 02:00:00+00:00
2025-09-07 03:00:00+00:00,24.5,97.0,24.0,7.6,7.9,184.0,0.0,1009.4,35.78,0.54,35.8,0.5,2025-09-07 03:00:00+00:00
2025-09-07 04:00:00+00:00,24.5,97.0,24.0,7.4,11.5,180.0,0.0,1009.2,35.78,0.54,35.8,0.5,2025-09-07 04:00:00+00:00
2025-09-07 05:00:00+00:00,25.2,96.0,24.4,7.0,15.1,177.0,0.0,1009.1,35.78,0.54,35.8,0.5,2025-09-07 05:00:00+00:00
2025-09-07 06:00:00+00:00,25.4,96.0,24.8,5.2,15.1,168.0,0.0,1009.2,35.78,0.54,35.8,0.5,2025-09-07 06:00:00+00:00
2025-09-07 07:00:00+00:00,25.2,93.0,24.1,2.4,9.0,138.0,0.0,1009.7,35.78,0.54,35.8,0.5,2025-09-07 07:00:00+00:00
2025-09-07 08:00:00+00:00,26.7,86.0,24.2,0.8,9.7,225.0,0.0,1010.0,35.78,0.54,35.8,0.5,2025-09-07 08:00:00+00:00
2025-09-07 09:00:00+00:00,27.6,76.0,23.1,2.7,13.7,290.0,0.0,1010.4,35.78,0.54,35.8,0.5,2025-09-07 09:00:00+00:00
2025-09-07 10:00:00+00:00,30.8,60.0,22.2,2.9,19.1,292.0,0.0,1010.5,35.78,0.54,35.8,0.5,2025-09-07 10:00:00+00:00
2025-09-07 11:00:00+00:00,31.3,57.0,21.7,6.0,24.5,307.0,0.0,1010.1,35.78,0.54,35.8,0.5,2025-09-07 11:00:00+00:00
2025-09-07 12:00:00+00:00,31.2,57.0,21.8,11.9,25.6,342.0,0.0,1009.5,35.78,0.54,35.8,0.5,2025-09-07 12:00:00+00:00
2025-09-07 13:00:00+00:00,31.6,55.0,21.6,13.5,24.8,1.0,0.0,1008.5,35.78,0.54,35.8,0.5,2025-09-07 13:00:00+00:00
2025-09-07 14:00:00+00:00,32.1,53.0,21.4,8.2,24.8,10.0,0.0,1008.3,35.78,0.54,35.8,0.5,2025-09-07 14:00:00+00:00
2025-09-07 15:00:00+00:00,32.3,52.0,21.2,4.8,25.2,53.0,0.0,1008.0,35.78,0.54,35.8,0.5,2025-09-07 15:00:00+00:00
2025-09-07 16:00:00+00:00,31.7,54.0,21.2,4.1,22.7,308.0,0.0,1008.2,35.78,0.54,35.8,0.5,2025-09-07 16:00:00+00:00
2025-09-07 17:00:00+00:00,29.2,70.0,23.1,6.5,16.6,328.0,0.0,1008.5,35.78,0.54,35.8,0.5,2025-09-07 17:00:00+00:00
2025-09-07 18:00:00+00:00,29.1,69.0,22.8,4.3,6.8,5.0,0.0,1008.6,35.78,0.54,35.8,0.5,2025-09-07 18:00:00+00:00
2025-09-07 19:00:00+00:00,29.2,65.0,21.9,2.9,10.4,94.0,0.0,1008.8,35.78,0.54,35.8,0.5,2025-09-07 19:00:00+00:00
2025-09-07 20:00:00+00:00,28.7,70.0,22.7,4.0,11.5,98.0,0.0,1009.4,35.78,0.54,35.8,0.5,2025-09-07 20:00:00+00:00
2025-09-07 21:00:00+00:00,28.2,71.0,22.4,4.4,11.5,99.0,0.0,1009.3,35.78,0.54,35.8,0.5,2025-09-07 21:00:00+00:00
2025-09-07 22:00:00+00:00,28.1,60.0,19.5,5.9,12.2,113.0,0.0,1009.0,35.78,0.54,35.8,0.5,2025-09-07 22:00:00+00:00
2025-09-07 23:00:00+00:00,27.9,57.0,18.6,7.3,11.9,144.0,0.0,1009.0,35.78,0.54,35.8,0.5,2025-09-07 23:00:00+00:00
2025-09-08 00:00:00+00:00,27.6,60.0,19.1,6.1,12.2,166.0,0.0,1008.5,35.78,0.54,35.8,0.5,2025-09-08 00:00:00+00:00
2025-09-08 01:00:00+00:00,27.5,59.0,18.8,5.2,11.5,194.0,0.0,1008.2,35.78,0.54,35.8,0.5,2025-09-08 01:00:00+00:00
2025-09-08 02:00:00+00:00,27.1,60.0,18.7,4.4,11.9,240.0,0.0,1007.7,35.78,0.54,35.8,0.5,2025-09-08 02:00:00+00:00
2025-09-08 03:00:00+00:00,25.8,69.0,19.7,6.2,11.9,260.0,0.0,1007.3,35.78,0.54,35.8,0.5,2025-09-08 03:00:00+00:00
2025-09-08 04:00:00+00:00,25.5,73.0,20.2,6.7,10.8,262.0,0.0,1007.4,35.78,0.54,35.8,0.5,2025-09-08 04:00:00+00:00
2025-09-08 05:00:00+00:00,25.2,75.0,20.5,6.3,10.1,265.0,0.0,1007.5,35.78,0.54,35.8,0.5,2025-09-08 05:00:00+00:00
2025-09-08 06:00:00+00:00,25.4,76.0,20.8,5.8,9.7,266.0,0.0,1007.7,35.78,0.54,35.8,0.5,2025-09-08 06:00:00+00:00
2025-09-08 07:00:00+00:00,26.3,70.0,20.3,5.4,11.9,266.0,0.0,1008.4,35.78,0.54,35.8,0.5,2025-09-08 07:00:00+00:00
2025-09-08 08:00:00+00:00,28.9,62.0,21.0,7.1,16.9,264.0,0.0,1008.5,35.78,0.54,35.8,0.5,2025-09-08 08:00:00+00:00
