time_utc,temperature_2m,relative_humidity_2m,dew_point_2m,windspeed_10m,windgusts_10m,winddirection_10m,precipitation,surface_pressure,latitude,longitude,lat_round,lon_round,time_hour
2025-09-07 00:00:00+00:00,26.1,93.0,24.9,6.6,9.7,283.0,0.0,1008.5,35.82,-0.32,35.8,-0.3,2025-09-07 00:00:00+00:00
2025-09-07 01:00:00+00:00,26.3,90.0,24.5,6.5,9.0,298.0,0.0,1008.3,35.82,-0.32,35.8,-0.3,2025-09-07 01:00:00+00:00
2025-09-07 02:00:00+00:00,26.3,90.0,24.5,2.7,7.6,242.0,0.0,1007.9,35.82,-0.32,35.8,-0.3,2025-09-07 02:00:00+00:00
2025-09-07 03:00:00+00:00,25.7,93.0,24.5,5.1,10.1,184.0,0.0,1007.6,35.82,-0.32,35.8,-0.3,2025-09-07 03:00:00+00:00
2025-09-07 04:00:00+00:00,25.5,94.0,24.5,5.0,13.0,182.0,0.0,1007.4,35.82,-0.32,35.8,-0.3,2025-09-07 04:00:00+00:00
2025-09-07 05:00:00+00:00,26.0,91.0,24.4,4.4,13.3,150.0,0.0,1007.1,35.82,-0.32,35.8,-0.3,2025-09-07 05:00:00+00:00
2025-09-07 06:00:00+00:00,26.2,93.0,24.9,3.8,11.9,135.0,0.0,1007.2,35.82,-0.32,35.8,-0.3,2025-09-07 06:00:00+00:00
2025-09-07 07:00:00+00:00,25.7,89.0,23.8,1.9,7.9,124.0,0.0,1007.8,35.82,-0.32,35.8,-0.3,2025-09-07 07:00:00+00:00
2025-09-07 08:00:00+00:00,27.1,84.0,24.1,0.4,10.1,27.0,0.0,1008.2,35.82,-0.32,35.8,-0.3,2025-09-07 08:00:00+00:00
2025-09-07 09:00:00+00:00,27.4,78.0,23.2,2.5,14.0,315.0,0.0,1008.4,35.82,-0.32,35.8,-0.3,2025-09-07 09:00:00+00:00
2025-09-07 10:00:00+00:00,29.5,64.0,21.9,3.2,18.0,357.0,0.0,1008.6,35.82,-0.32,35.8,-0.3,2025-09-07 10:00:00+00:00
2025-09-07 11:00:00+00:00,29.9,62.0,21.8,5.6,21.2,354.0,0.0,1008.1,35.82,-0.32,35.8,-0.3,2025-09-07 11:00:00+00:00
2025-09-07 12:00:00+00:00,29.8,62.0,21.7,11.0,22.3,2.0,0.0,1007.5,35.82,-0.32,35.8,-0.3,2025-09-07 12:00:00+00:00
2025-09-07 13:00:00+00:00,30.3,60.0,21.7,12.4,24.1,13.0,0.0,1006.5,35.82,-0.32,35.8,-0.3,2025-09-07 13:00:00+00:00
2025-09-07 14:00:00+00:00,31.0,59.0,22.0,11.7,27.4,44.0,0.0,1006.4,35.82,-0.32,35.8,-0.3,2025-09-07 14:00:00+00:00
2025-09-07 15:00:00+00:00,30.8,60.0,22.2,0.7,25.9,284.0,0.0,1006.6,35.82,-0.32,35.8,-0.3,2025-09-07 15:00:00+00:00
2025-09-07 16:00:00+00:00,30.2,62.0,22.1,1.3,15.1,45.0,0.0,1006.4,35.82,-0.32,35.8,-0.3,2025-09-07 16:00:00+00:00
2025-09-07 17:00:00+00:00,28.8,70.0,22.8,5.5,11.9,52.0,0.0,1006.4,35.82,-0.32,35.8,-0.3,2025-09-07 17:00:00+00:00
2025-09-07 18:00:00+00:00,29.1,67.0,22.3,7.0,19.8,58.0,0.0,1006.7,35.82,-0.32,35.8,-0.3,2025-09-07 18:00:00+00:00
2025-09-07 19:00:00+00:00,28.8,70.0,22.7,5.7,17.3,72.0,0.0,1006.8,35.82,-0.32,35.8,-0.3,2025-09-07 19:00:00+00:00
2025-09-07 20:00:00+00:00,28.6,75.0,23.7,4.5,14.8,85.0,0.0,1007.4,35.82,-0.32,35.8,-0.3,2025-09-07 20:00:00+00:00
2025-09-07 21:00:00+00:00,27.7,79.0,23.8,2.6,14.8,102.0,0.0,1007.3,35.82,-0.32,35.8,-0.3,2025-09-07 21:00:00+00:00
2025-09-07 22:00:00+00:00,28.0,66.0,21.0,2.3,17.3,141.0,0.0,1007.1,35.82,-0.32,35.8,-0.3,2025-09-07 22:00:00+00:00
2025-09-07 23:00:00+00:00,28.6,57.0,19.3,4.7,18.7,208.0,0.0,1007.2,35.82,-0.32,35.8,-0.3,2025-09-07 23:00:00+00:00
2025-09-08 00:00:00+00:00,28.2,60.0,19.6,6.0,18.4,243.0,0.0,1006.9,35.82,-0.32,35.8,-0.3,2025-09-08 00:00:00+00:00
2025-09-08 01:00:00+00:00,27.6,63.0,20.0,6.5,18.4,270.0,0.0,1006.7,35.82,-0.32,35.8,-0.3,2025-09-08 01:00:00+00:00
2025-09-08 02:00:00+00:00,26.7,69.0,20.6,5.8,17.3,272.0,0.0,1006.0,35.82,-0.32,35.8,-0.3,2025-09-08 02:00:00+00:00
2025-09-08 03:00:00+00:00,25.6,79.0,21.6,4.3,14.0,270.0,0.0,1005.7,35.82,-0.32,35.8,-0.3,2025-09-08 03:00:00+00:00
2025-09-08 04:00:00+00:00,25.4,81.0,21.9,3.0,11.9,256.0,0.0,1005.7,35.82,-0.32,35.8,-0.3,2025-09-08 04:00:00+00:00
2025-09-08 05:00:00+00:00,25.4,82.0,22.1,2.3,11.5,241.0,0.0,1005.8,35.82,-0.32,35.8,-0.3,2025-09-08 05:00:00+00:00
2025-09-08 06:00:00+00:00,25.4,82.0,22.1,2.7,12.6,247.0,0.0,1006.0,35.82,-0.32,35.8,-0.3,2025-09-08 06:00:00+00:00
2025-09-08 07:00:00+00:00,25.2,83.0,22.0,4.1,11.2,257.0,0.0,1006.7,35.82,-0.32,35.8,-0.3,2025-09-08 07:00:00+00:00
2025-09-08 08:00:00+00:00,27.6,73.0,22.4,5.2,13.7,266.0,0.0,1006.7,35.82,-0.32,35.8,-0.3,2025-09-08 08:00:00+00:00
2025-09-08 09:00:00+00:00,28.2,68.0,21.7,6.2,15.5,280.0,0.0,1007.0,35.82,-0.32,35.8,-0.3,2025-09-08 09:00:00+00:00
2025-09-08 10:00:00+00:00,30.1,62.0,22.1,7.3,17.6,303.0,0.0,1006.9,35.82,-0.32,35.8,-0.3,2025-09-08 10:00:00+00:00
2025-09-08 11:00:00+00:00,30.8,58.0,21.5,7.3,20.5,310.0,0.0,1006.6,35.82,-0.32,35.8,-0.3,2025-09-08 11:00:00+00:00
2025-09-08 12:00:00+00:00,31.1,55.0,21.1,8.2,22.0,320.0,0.0,1006.3,35.82,-0.32,35.8,-0.3,2025-09-08 12:00:00+00:00
2025-09-08 13:00:00+00:00,31.4,53.0,20.7,9.2,26.3,325.0,0.0,1005.6,35.82,-0.32,35.8,-0.3,2025-09-08 13:00:00+00:00
2025-09-08 14:00:00+00:00,30.8,55.0,20.7,10.3,29.9,327.0,0.0,1005.3,35.82,-0.32,35.8,-0.3,2025-09-08 14:00:00+00:00
2025-09-08 15:00:00+00:00,31.1,52.0,20.0,9.9,27.4,325.0,0.0,1004.7,35.82,-0.32,35.8,-0.3,2025-09-08 15:00:00+00:00
2025-09-08 16:00:00+00:00,30.0,56.0,20.2,8.7,19.8,317.0,0.0,1004.9,35.82,-0.32,35.8,-0.3,2025-09-08 16:00:00+00:00
2025-09-08 17:00:00+00:00,28.5,63.0,20.7,8.4,18.7,320.0,0.0,1004.7,35.82,-0.32,35.8,-0.3,2025-09-08 17:00:00+00:00
2025-09-08 18:00:00+00:00,28.1,65.0,20.8,7.9,16.2,325.0,0.0,1005.0,35.82,-0.32,35.8,-0.3,2025-09-08 18:00:00+00:00
2025-09-08 19:00:00+00:00,27.9,66.0,20.9,5.6,13.7,318.0,0.0,1005.4,35.82,-0.32,35.8,-0.3,2025-09-08 19:00:00+00:00
2025-09-08 20:00:00+00:00,27.4,69.0,21.2,3.9,11.5,283.0,0.0,1006.1,35.82,-0.32,35.8,-0.3,2025-09-08 20:00:00+00:00
2025-09-08 21:00:00+00:00,27.0,68.0,20.6,5.4,13.3,240.0,0.0,1006.4,35.82,-0.32,35.8,-0.3,2025-09-08 21:00:00+00:00
2025-09-08 22:00:00+00:00,26.9,69.0,20.8,4.6,14.8,216.0,0.0,1006.4,35.82,-0.32,35.8,-0.3,2025-09-08 22:00:00+00:00
2025-09-08 23:00:00+00:00,26.6,74.0,21.5,6.6,16.6,225.0,0.0,1006.2,35.82,-0.32,35.8,-0.3,2025-09-08 23:00:00+00:00
2025-09-09 00:00:00+00:00,,,,,,,,,35.82,-0.32,35.8,-0.3,2025-09-09 00:00:00+00:00
2025-09-09 01:00:00+00:00,,,,,,,,,35.82,-0.32,35.8,-0.3,2025-09-09 01:00:00+00:00
2025-09-09 02:00:00+00:00,,,,,,,,,35.82,-0.32,35.8,-0.3,2025-09-09 02:00:00+00:00
2025-09-09 03:00:00+00:00,,,,,,,,,35.82,-0.32,35.8,-0.3,2025-09-09 03:00:00+00:00
2025-09-09 04:00:00+00:00,,,,,,,,,35.82,-0.32,35.8,-0.3,2025-09-09 04:00:00+00:00
2025-09-09 05:00:00+00:00,,,,,,,,,35.82,-0.32,35.8,-0.3,2025-09-09 05:00:00+00:00
2025-09-09 06:00:00+00:00,,,,,,,,,35.82,-0.32,35.8,-0.3,2025-09-09 06:00:00+00:00
2025-09-09 07:00:00+00:00,,,,,,,,,35.82,-0.32,35.8,-0.3,2025-09-09 07:00:00+00:00
2025-09-09 08:00:00+00:00,,,,,,,,,35.82,-0.32,35.8,-0.3,2025-09-09 08:00:00+00:00
2025-09-09 09:00:00+00:00,,,,,,,,,35.82,-0.32,35.8,-0.3,2025-09-09 09:00:00+00:00
2025-09-09 10:00:00+00:00,,,,,,,,,35.82,-0.32,35.8,-0.3,2025-09-09 10:00:00+00:00
